,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_supertren…(H,L,C,30)","Exit_supertren…(H,L,C,30)","Entry_ema(C[D],10)","Exit_ema(C[D],10)"
71,-4,3249,3416,25745.75,24379.25,,,5466.0,0.0,0.053076721400619475,2024-10-01 10:15:00+05:30,2024-11-06 09:15:00+05:30,35 days 23:00:00,,25995.747063811865,24006.790876566367,25821.055029191182,24351.429466232417
72,4,3417,3425,24369.05078125,24197.349609375,,,-686.8046875,0.0,-0.007045870330210424,2024-11-06 10:15:00+05:30,2024-11-07 11:15:00+05:30,1 days 01:00:00,,24032.51806219124,24508.843219979466,24351.429466232417,24377.333270667434
73,-4,3426,3490,24219.94921875,23844.94921875,,,1500.0,0.0,0.015483104304351403,2024-11-07 12:15:00+05:30,2024-11-22 13:15:00+05:30,15 days 01:00:00,,24508.843219979466,23454.379575811334,24377.333270667434,23730.654296327713
74,4,3491,3518,23920.099609375,23958.900390625,,,155.203125,0.0,0.001622099484685835,2024-11-22 14:15:00+05:30,2024-11-28 13:15:00+05:30,5 days 23:00:00,,23561.196089950954,24285.97929091631,23730.654296327713,23976.358232975028
75,-4,3519,3532,23915.599609375,24249.0,,,-1333.6015625,0.0,-0.013940707992715629,2024-11-28 14:15:00+05:30,2024-12-02 13:15:00+05:30,3 days 23:00:00,,24260.265267677434,23910.411458215105,23976.358232975028,24000.325714067993
76,4,3533,3591,24275.55078125,24353.099609375,,,310.1953125,0.0,0.0031945239399016057,2024-12-02 14:15:00+05:30,2024-12-13 09:15:00+05:30,10 days 19:00:00,,23987.594943462103,24651.601997016485,24000.325714067993,24486.1073617243
77,-4,3592,3593,24278.94921875,24560.44921875,,,-1126.0,0.0,-0.011594406226716147,2024-12-13 10:15:00+05:30,2024-12-13 11:15:00+05:30,0 days 01:00:00,,24496.911487740934,24177.390705079597,24486.1073617243,24486.1073617243
78,4,3594,3606,24640.150390625,24467.849609375,,,-689.203125,0.0,-0.006992683831814506,2024-12-13 12:15:00+05:30,2024-12-17 10:15:00+05:30,3 days 22:00:00,,24327.609615170695,24715.83526149886,24486.1073617243,24559.500912084037
79,-4,3607,3683,24379.25,23943.650390625,,,1742.3984375,0.0,0.017867637822123306,2024-12-17 11:15:00+05:30,2025-01-02 10:15:00+05:30,15 days 23:00:00,,24693.864450698897,23626.915223098207,24559.500912084037,23855.236346378864
80,4,3684,3697,23940.44921875,23745.099609375,,,-781.3984375,0.0,-0.008159813861053355,2025-01-02 11:15:00+05:30,2025-01-06 10:15:00+05:30,3 days 23:00:00,,23678.256037276184,24186.7487066319,23855.236346378864,23926.28544287552
81,-4,3698,3819,23719.80078125,23174.05078125,,,2183.0,0.0,0.023008203358579782,2025-01-06 11:15:00+05:30,2025-01-29 13:15:00+05:30,23 days 02:00:00,,24007.08445937959,22860.630401549268,23926.28544287552,23135.195078117722
82,4,3820,3843,23159.349609375,23263.69921875,,,417.3984375,0.0,0.004505722791660727,2025-01-29 14:15:00+05:30,2025-02-03 09:15:00+05:30,4 days 19:00:00,,22866.05427748721,23607.594551350452,23135.195078117722,23283.865446703545
83,4,3853,3875,23640.05078125,23461.05078125,,,-716.0,0.0,-0.0075718957482939775,2025-02-04 12:15:00+05:30,2025-02-07 13:15:00+05:30,3 days 01:00:00,,23288.270884539208,23791.69751242561,23297.653405257446,23465.270186017227
84,-4,3878,4000,23373.099609375,22466.150390625,,,3627.796875,0.0,0.03880312127648744,2025-02-10 09:15:00+05:30,2025-03-06 12:15:00+05:30,24 days 03:00:00,,23737.788651934366,22198.98239451726,23483.066586855006,22456.72629273601
85,5,4001,4027,22509.19921875,22367.19921875,,,-710.0,0.0,-0.006308531841582088,2025-03-06 13:15:00+05:30,2025-03-12 11:15:00+05:30,5 days 22:00:00,,22242.54027303335,22608.624962895807,22456.72629273601,22482.97815208044
86,-5,4028,4046,22402.19921875,22745.349609375,,,-1715.751953125,0.0,-0.01531770998348203,2025-03-12 12:15:00+05:30,2025-03-18 09:15:00+05:30,5 days 21:00:00,,22601.732874288864,22445.85764738675,22482.97815208044,22472.25554286562
87,4,4047,4110,22757.05078125,23228.94921875,,,1887.59375,0.0,0.020736361756014787,2025-03-18 10:15:00+05:30,2025-04-01 10:15:00+05:30,14 days 00:00:00,,22524.84051747386,23628.225129771152,22472.25554286562,23287.569138107363
88,-4,4111,4160,23209.900390625,22907.849609375,,,1208.203125,0.0,0.013013876671870817,2025-04-01 11:15:00+05:30,2025-04-11 11:15:00+05:30,10 days 00:00:00,,23491.151316851698,22466.92954796352,23287.569138107363,22847.875809673827
89,5,4161,4276,22904.5,24153.19921875,,,6243.49609375,0.0,0.05451763709096458,2025-04-11 12:15:00+05:30,2025-05-08 15:15:00+05:30,27 days 03:00:00,,22508.529552614735,24473.786836872194,22847.875809673827,24219.153331542948
90,-5,4277,4284,24060.650390625,24682.650390625,,,-3110.0,0.0,-0.025851337761108706,2025-05-09 09:15:00+05:30,2025-05-12 09:15:00+05:30,3 days 00:00:00,,24312.394886320202,24248.29838942664,24207.161674671504,24176.52325939032
91,4,4285,4340,24702.849609375,24606.05078125,,,-387.1953125,0.0,-0.003918528819778944,2025-05-12 10:15:00+05:30,2025-05-22 09:15:00+05:30,9 days 23:00:00,,24387.732420977,24936.241150304984,24176.52325939032,24705.338246608797
92,-4,4341,4348,24594.599609375,24890.099609375,,,-1182.0,0.0,-0.012014832715038892,2025-05-22 10:15:00+05:30,2025-05-23 10:15:00+05:30,1 days 00:00:00,,24894.669244773984,24524.779263848544,24705.338246608797,24692.913110861744
93,4,4349,4389,24834.75,24581.94921875,,,-1011.203125,0.0,-0.010179316532278326,2025-05-23 11:15:00+05:30,2025-06-02 09:15:00+05:30,9 days 22:00:00,,24550.15039125151,24881.754475601643,24692.913110861744,24785.931454505524
94,-4,4390,4412,24623.150390625,24869.55078125,,,-985.6015625,0.0,-0.0100068588590847,2025-06-02 10:15:00+05:30,2025-06-05 11:15:00+05:30,3 days 01:00:00,,24864.47109073784,24536.33222050605,24785.931454505524,24705.893749899158
95,4,4413,4449,24797.75,24847.400390625,,,198.6015625,0.0,0.002002213532477759,2025-06-05 12:15:00+05:30,2025-06-12 13:15:00+05:30,7 days 01:00:00,,24585.21964909335,25153.589745652138,24705.893749899158,24921.830863982806
96,-4,4450,4460,24887.55078125,24906.75,,,-76.796875,0.0,-0.0007714386569714904,2025-06-12 14:15:00+05:30,2025-06-16 10:15:00+05:30,3 days 20:00:00,,25100.634540588733,24603.44458836565,24921.830863982806,24878.168736943036
